,Place Overall,Place Gender,Name (CTZ),BIB,Division,HALF,Finish
10807,10798,8271,"Purificati, Steve (CAN)",6723,35-39,01:46:43,03:30:41
10808,10799,2497,"Da Rosa Rodrigues, Juliana (BRA)",5670,30-34,01:43:41,03:30:42
10809,10800,2498,"Freund, Gesine (GER)",6674,45-49,01:43:54,03:30:42
10810,10801,8272,"Su, Shiqiang (CAN)",4956,50-54,01:47:31,03:30:42
10811,10802,2499,"Irwin, Joanne (GBR)",11562,45-49,01:44:23,03:30:42
10812,10803,2500,"Clark, Helen (GBR)",12378,45-49,01:44:55,03:30:42
10813,10804,8273,"Rojas Blanco, Camilo (CAN)",15914,40-44,01:41:43,03:30:42
10814,10805,8274,"Lonard, Samuel (USA)",39312,20-24,01:45:53,03:30:42
10815,10806,8275,"Peerhossaini, Sina (USA)",31067,35-39,01:44:27,03:30:42
10816,10807,8276,"Taylordean, Duncan (USA)",30244,25-29,01:45:07,03:30:43
10817,10808,2501,"LaRosa, Kathryn (USA)",30307,25-29,01:46:41,03:30:43
10818,10809,8277,"Mottola, Salvatore (ITA)",26441,55-59,01:42:10,03:30:43
10819,10810,8278,"Bucio, Miguel (MEX)",9902,45-49,01:41:23,03:30:43
10820,10811,8279,"Rogala, Mariusz (POL)",8703,30-34,01:41:18,03:30:43
10821,10812,2502,"Brunello, Laura (USA)",17223,30-34,01:41:38,03:30:43
10822,10813,8280,"Gonzalez, Pedro (VEN)",19793,35-39,01:43:21,03:30:44
10823,10814,8281,"Grant, Russell (AUS)",24623,50-54,01:43:15,03:30:44
10824,10815,8282,"Ahuad, Xavier (USA)",22384,20-24,01:33:18,03:30:44
10825,10816,2503,"Varas, Tatiana (MEX)",8826,35-39,01:41:45,03:30:45
10826,10817,2504,"Zorab, Jade (GBR)",29494,35-39,01:43:38,03:30:45
10827,10818,2505,"Soto, Karina (ARG)",2416,50-54,01:40:13,03:30:46
10828,10819,2506,"Kim, Dawn (USA)",12003,40-44,01:45:13,03:30:46
10829,10820,8283,"Harmeling, Luke (USA)",15608,30-34,01:47:10,03:30:46
10830,10821,8284,"Dube, Mduduzi (RSA)",22786,45-49,01:44:36,03:30:46
10831,10822,8285,"Soukup, David (USA)",1354,35-39,01:37:11,03:30:46
10832,10823,2507,"Richard, Andrea (CAN)",4902,40-44,01:42:04,03:30:47
10833,10824,8286,"Lin, Hung (TPE)",29282,35-39,01:44:16,03:30:47
10834,10825,2508,"Spada, Maria (USA)",1101,45-49,01:45:57,03:30:47
10835,10826,8287,"Bachmann, Engelbert (GER)",26376,65-69,01:41:15,03:30:48
10836,10827,2509,"Porto Bizarro, Karen (BRA)",4844,45-49,01:43:47,03:30:48
10837,10828,2510,"Bird, Jemima (GBR)",26468,50-54,01:39:25,03:30:48
10838,10829,2511,"Hernandez Luevano, Ana (MEX)",21780,30-34,01:46:08,03:30:48
10839,10830,2512,"Korves, Ashleigh (USA)",14962,40-44,01:46:36,03:30:48
10840,10831,8288,"Jong, Michael (CAN)",26764,70-74,01:46:10,03:30:48
10841,10832,8289,"Tripicchio, Ryan (USA)",18579,35-39,01:51:15,03:30:48
10842,10833,8290,"McClure, Scott (USA)",21558,50-54,01:43:56,03:30:49
10843,10834,8291,"Bernucci, Antonio (BRA)",16975,35-39,01:42:15,03:30:49
10844,10835,8292,"Flato, Jason (USA)",13354,45-49,01:44:53,03:30:49
10845,10836,8293,"Kress, Xavier (FRA)",7762,40-44,01:45:02,03:30:49
10846,10837,2513,"Harrison, Jana (GBR)",26470,50-54,01:41:59,03:30:49
10847,10838,8294,"Stiles, Skip (USA)",18454,35-39,01:43:33,03:30:49
10848,10839,8295,"Veselka, Thomas Veselka (USA)",20472,50-54,01:39:15,03:30:49
10849,10840,2514,"Gamboa, Andrea (MEX)",10606,20-24,01:45:43,03:30:50
10850,10841,8296,"Alfaro, Ricardo (ESA)",25145,55-59,01:39:08,03:30:50
10851,10842,2515,"Stellato, Laura (CAN)",5754,40-44,01:43:04,03:30:50
10852,10843,8297,"Garcia Cisneros, Raul (MEX)",6652,35-39,01:44:00,03:30:51
10853,10844,2516,"Smyth, Alison (GBR)",9590,35-39,01:45:48,03:30:51
10854,10845,2517,"Jennings, Michelle (IRL)",7853,35-39,01:43:17,03:30:52
10855,10846,8298,"Spalding, Travis (USA)",17071,45-49,01:38:50,03:30:52
10856,10847,8299,"Parra, Oscar (USA)",1570,45-49,01:40:07,03:30:53
10857,10848,8300,"Burnett, Colin (USA)",32202,25-29,01:45:44,03:30:53
10858,10849,8301,"Lafer, Alois (AUT)",25921,60-64,01:36:01,03:30:53
10859,10850,8302,"Kim, Sung (USA)",13433,50-54,01:44:43,03:30:53
10860,10851,2518,"Meadors, Laura (USA)",17681,45-49,01:46:16,03:30:53
10861,10852,2519,"Garcia, Julia Amelia (DOM)",5888,40-44,01:46:39,03:30:54
10862,10853,2520,"Achter, Emily (USA)",13485,25-29,01:47:27,03:30:54
10863,10854,2521,"Felicissimo, Ariane (BRA)",2376,35-39,01:39:49,03:30:54
10864,10855,8303,"Colmenares, Raul (COL)",5820,35-39,01:47:15,03:30:54
10865,10856,2522,"Melao, Mia (USA)",15589,20-24,01:44:40,03:30:54
10866,10857,2523,"Pett, Aubrey (USA)",16289,35-39,01:43:39,03:30:54
10867,10858,8304,"Mogol, Froilan (USA)",15222,40-44,01:45:44,03:30:55
10868,10859,2524,"Puzon, Judith (USA)",26561,55-59,01:41:37,03:30:55
10869,10860,2525,"McCain, Lane (USA)",37530,25-29,01:44:04,03:30:55
10870,10861,2526,"Howard, Katie (USA)",14321,40-44,01:41:56,03:30:55
10871,10862,2527,"Michalewicz, Meeghan (USA)",13448,35-39,01:44:32,03:30:55
10872,10863,2528,"Beaver, Marie (USA)",11903,55-59,01:43:06,03:30:56
10873,10864,2529,"Mason, Shannon (CAN)",5781,30-34,01:43:59,03:30:56
10874,10865,8305,"Buyck, Mark (AUS)",1234,45-49,01:33:59,03:30:56
10875,10866,2530,"Ortiz de Montellano, Camila (MEX)",9783,20-24,01:46:12,03:30:56
10876,10867,8306,"LaGreca, Cody (USA)",36745,25-29,01:37:45,03:30:56
10877,10868,8307,"Thomson, John (USA)",14279,55-59,01:45:05,03:30:57
10878,10869,8308,"Bond, Jeremy (USA)",19816,25-29,01:45:58,03:30:57
10879,10870,8309,"Walsh, Michael (USA)",37627,40-44,01:47:59,03:30:57
10880,10871,2531,"Massaroth, Lumah (BRA)",24633,30-34,01:45:42,03:30:57
10881,10872,2532,"Wang, Yan (USA)",11893,40-44,01:47:02,03:30:57
10882,10873,2533,"Rogut, Agnieszka (CAN)",25950,50-54,01:32:00,03:30:59
10883,10874,8310,"Navarro, Jesus (USA)",31301,40-44,01:44:19,03:30:59
10884,10875,2534,"Pauly, Elaine (BRA)",2526,35-39,01:40:48,03:30:59
10885,10876,2535,"Bender, Gianna (USA)",13487,25-29,01:45:17,03:30:59
10886,10877,2536,"Ahern, Shannon (USA)",17369,25-29,01:45:18,03:31:00
10887,10878,8311,"Castro, Adriano (USA)",1316,20-24,01:35:47,03:31:00
10888,10879,8312,"King, Gabriel (USA)",17022,25-29,01:45:04,03:31:00
10889,10880,8313,"Dearman, Spencer (USA)",3632,19 and under,01:43:25,03:31:01
10890,10881,8314,"Nesterov, Nick (NED)",21012,25-29,01:22:30,03:31:01
10891,10882,8315,"Gunther, Christopher (USA)",30102,25-29,01:44:57,03:31:01
10892,10883,8316,"De Brito Correa Junior, Jose Maria (BRA)",2537,40-44,01:43:42,03:31:01
10893,10884,2537,"Lohinova, Kateryna (UKR)",12348,35-39,01:42:05,03:31:01
10894,10885,8317,"Douma, Malik (FRA)",17391,45-49,01:45:47,03:31:01
10895,10886,8318,"Occelli, Patricio (MEX)",8814,25-29,01:49:08,03:31:02
10896,10887,8319,"Dawson, Scott (AUS)",14388,35-39,01:43:50,03:31:02
10897,10888,2538,"Nejm, Vitória (BRA)",23965,30-34,01:45:22,03:31:02
10898,10889,8320,"Parthasarathy, Varun (USA)",27766,35-39,01:43:53,03:31:02
10899,10890,2539,"Titova, Maria (RUS)",8614,30-34,01:39:31,03:31:02
10900,10891,2540,"Petrini, Eva (USA)",27408,20-24,01:45:12,03:31:03
10901,10892,2541,"Zimmer, Erin (USA)",17334,40-44,01:46:07,03:31:03
10902,10893,8321,"Pelletier, Florent (CAN)",26768,70-74,01:43:45,03:31:03
10903,10894,8322,"Morais Cardozo, Rodrigo (BRA)",5715,40-44,01:43:45,03:31:03
10904,10895,2542,"Gankhuyag, Narangarav (MGL)",8736,35-39,01:40:00,03:31:03
10905,10896,8323,"Zegers, Rodrigo Ignacio (CHI)",6785,35-39,01:45:21,03:31:04
10906,10897,8324,"M Morton, Ben (USA)",22228,25-29,01:35:27,03:31:04
10907,10898,8325,"Alte, Nico (GER)",8607,50-54,01:39:24,03:31:04
10908,10899,2543,"Endersen, Heidi (USA)",19629,30-34,01:38:32,03:31:04
10909,10900,8326,"Pelaez, Jose (ESP)",10797,35-39,01:44:05,03:31:04
10910,10901,2544,"Gomez, Paola (MEX)",8907,30-34,01:44:23,03:31:04
10911,10902,2545,"Pickett, Madeleine (USA)",17128,35-39,01:42:20,03:31:04
10912,10903,8327,"Ferren, Eric (USA)",15213,50-54,01:39:01,03:31:04
10913,10904,2546,"Johnson, Ashley (USA)",18879,30-34,01:45:20,03:31:05
10914,10905,2547,"Romero, Leslibeth (USA)",13553,30-34,01:40:15,03:31:05
10915,10906,2548,"Del Toro Hernandez, Maria Fernanda (MEX)",34746,25-29,01:44:18,03:31:05
10916,10907,8328,"Pereira Junior, Nelson (BRA)",3915,35-39,01:34:16,03:31:05
10917,10908,2549,"Holohan, Annemarie (CAN)",28053,35-39,01:44:45,03:31:05
10918,10909,2550,"Atayde, Rocio (MEX)",34662,25-29,01:47:50,03:31:05
10919,10910,2551,"Thomas, Christie (USA)",26279,50-54,01:43:56,03:31:05
10920,10911,2552,"Hellmers, Jennifer (USA)",17641,45-49,01:44:41,03:31:06
10921,10912,8329,"Ortiz Ortiz, Eber (MEX)",7280,40-44,01:38:35,03:31:06
10922,10913,2553,"O'Connor, Ciara (IRL)",7840,35-39,01:43:30,03:31:06
10923,10914,2554,"Houston, Dawn (IRL)",26472,40-44,01:38:12,03:31:06
10924,10915,8330,"McGannon, Mike (USA)",17904,35-39,01:44:39,03:31:06
10925,10916,2555,"VanDyke, Lisa (USA)",22427,45-49,01:43:55,03:31:07
10926,10917,8331,"Bow, Daniel (USA)",12094,45-49,01:44:04,03:31:07
10927,10918,8332,"Brennan, Riley (USA)",16500,30-34,01:35:49,03:31:08
10928,10919,8333,"Lopez, Sebastian (COL)",7645,30-34,01:45:23,03:31:08
10929,10920,8334,"Bonavita, Andres Martin (ITA)",2980,45-49,01:46:31,03:31:08
10930,10921,8335,"Silalahi, Anggia (INA)",5570,35-39,01:36:03,03:31:08
10931,10922,8336,"Daehler, Benjamin (SUI)",29246,35-39,01:41:39,03:31:09
10932,10923,8337,"Rivera Munozcano, Diego (MEX)",40837,25-29,01:39:07,03:31:09
10933,10924,8338,"Yossef, Hosam (EGY)",12357,30-34,01:40:37,03:31:09
10934,10925,8339,"Carcereri, Herick (BRA)",2523,30-34,01:41:42,03:31:09
10935,10926,8340,"Calatroni, Pablo (ARG)",16799,50-54,01:42:15,03:31:09
10936,10927,2556,"Gelinas, Isabelle (CAN)",1679,40-44,01:44:12,03:31:09
10937,10928,8341,"Khamsorn, Yotsakorn (THA)",11061,30-34,01:44:00,03:31:09
10938,10929,8342,"Rodarte, Cesar (USA)",12705,35-39,01:45:33,03:31:09
10939,10930,8343,"Paltser, Madis (EST)",7733,35-39,01:44:30,03:31:09
10940,10931,8344,"Brownlee, Matthew (USA)",19339,45-49,01:39:57,03:31:10
10941,10932,2557,"Turner, Genevieve (USA)",19853,35-39,01:44:41,03:31:10
10942,10933,8345,"Towns, Payton (USA)",30471,25-29,01:46:32,03:31:10
10943,10934,8346,"La Piana, Antonino (ITA)",32570,40-44,01:41:31,03:31:10
10944,10935,8347,"Martinez Del Campo, Arturo (MEX)",16704,55-59,01:45:17,03:31:10
10945,10936,2558,"Snyder, Jessica (USA)",15556,30-34,01:42:18,03:31:10
10946,10937,8348,"Pamplona Novaes, Luis Fernando (BRA)",23636,40-44,01:39:28,03:31:11
10947,10938,8349,"Porter, Evan (USA)",21792,30-34,01:45:52,03:31:11
10948,10939,2559,"Wyllie, Anne (NZL)",23695,35-39,01:42:21,03:31:11
10949,10940,8350,"Jasek, Tadeusz (POL)",26067,70-74,01:37:21,03:31:12
10950,10941,8351,"Hipple, Harrison (USA)",21538,45-49,01:37:37,03:31:12
10951,10942,8352,"Mulyana, Rahmat (SWE)",23978,40-44,01:40:56,03:31:12
10952,10943,8353,"Zhao, Tiejun (USA)",19642,55-59,01:43:42,03:31:12
10953,10944,8354,"Franklin, Murry (USA)",19835,40-44,01:44:12,03:31:12
10954,10945,8355,"Harnett, Brian (CAN)",6681,30-34,01:40:21,03:31:13
10955,10946,8356,"Gomez Gonzalez, Roberto Guillermo (MEX)",21708,35-39,01:42:47,03:31:13
10956,10947,8357,"Bolado, José María (ESP)",26437,70-74,01:42:37,03:31:13
10957,10948,8358,"High, Glenn (USA)",23658,30-34,01:41:37,03:31:13
10958,10949,8359,"Lisley, Matt (GBR)",11677,25-29,01:43:47,03:31:13
10959,10950,8360,"Horimoto, Ryu (JPN)",24747,45-49,01:45:48,03:31:13
10960,10951,8361,"Ruszkowski, Maciej (POL)",11306,40-44,01:45:41,03:31:13
10961,10952,8362,"Brown, Bryan (USA)",23661,30-34,01:45:22,03:31:14
10962,10953,8363,"Hong, Sung-Min (CAN)",22166,40-44,01:44:18,03:31:14
10963,10954,2560,"Remes Cobo, Beatriz (MEX)",7353,40-44,–,03:31:14
10964,10955,2561,"Xie, Anqi (CHN)",12843,20-24,01:45:49,03:31:14
10965,10956,8364,"Vitti, Hugo (BRA)",5672,30-34,01:43:59,03:31:14
10966,10957,8365,"O'Donnell, Brian (USA)",19605,45-49,01:41:51,03:31:14
10967,10958,8366,"Patton, Timothy (USA)",31807,55-59,01:43:19,03:31:14
10968,10959,2562,"Schyvinck, Brittany (USA)",20586,25-29,01:43:19,03:31:14
10969,10960,8367,"Issa Villarreal, Luis (MEX)",20520,30-34,01:42:21,03:31:14
10970,10961,8368,"Berrahou, Reda (FRA)",4589,30-34,01:45:32,03:31:14
10971,10962,2563,"Stebbins, Kristen (USA)",16743,30-34,01:45:24,03:31:15
10972,10963,2564,"Chang, Hope (USA)",13890,30-34,01:45:15,03:31:15
10973,10964,2565,"Zak, Hannah (USA)",17087,25-29,01:44:40,03:31:15
10974,10965,2566,"Etienne, Karla (CAN)",26338,50-54,01:46:35,03:31:15
10975,10966,8369,"Wang, Hongge (CAN)",3441,60-64,01:39:46,03:31:16
10976,10967,2567,"Obert, Kristin (USA)",19856,30-34,01:44:58,03:31:16
10977,10968,2568,"Evans, Suzanne (CAN)",6649,50-54,01:45:20,03:31:16
10978,10969,8370,"Tran, Anh Kiet (FRA)",5414,40-44,01:38:44,03:31:16
10979,10970,2569,"Bramlett, Stephanie (USA)",16214,40-44,01:42:20,03:31:16
10980,10971,2570,"Ambrose, Shelly (USA)",26525,45-49,01:45:41,03:31:16
10981,10972,8371,"Rosema, Jerrold (USA)",22680,30-34,01:46:03,03:31:16
10982,10973,8372,"Nagle, Alex (USA)",14162,50-54,01:44:17,03:31:16
10983,10974,8373,"Shomo, Matthew (USA)",24678,25-29,01:43:04,03:31:16
10984,10975,8374,"Roncarati, Marco (ITA)",24027,50-54,01:43:05,03:31:16
10985,10976,8375,"Sarabia, Roberto (USA)",14177,20-24,01:44:01,03:31:16
10986,10977,8376,"Coulter, Jason (USA)",17149,40-44,01:38:05,03:31:16
10987,10978,8377,"Dawson, Steve (CAN)",3481,60-64,01:42:02,03:31:17
10988,10979,8378,"Lau, Ryan (CAN)",3482,35-39,01:42:02,03:31:17
10989,10980,2571,"Reilly, Caroline (USA)",20611,25-29,01:42:07,03:31:17
10990,10981,8379,"Rafalko, Dariusz (POL)",16413,40-44,01:39:11,03:31:17
10991,10982,8380,"Roca Veselkov, Pavlo (ESP)",8568,45-49,01:44:14,03:31:17
10992,10983,8381,"Walding, Daniel (AUS)",4793,50-54,01:38:54,03:31:18
10993,10984,8382,"Toener, Frederik (GER)",6842,60-64,01:44:44,03:31:18
10994,10985,2572,"Evans, Meghan (USA)",31711,30-34,01:43:34,03:31:18
10995,10986,2573,"Watson, Jillian (USA)",24229,35-39,01:45:54,03:31:18
10996,10987,8383,"Maloney, David (GBR)",12447,35-39,01:45:21,03:31:18
10997,10988,2574,"Sonon, Kristin (USA)",15375,40-44,01:43:10,03:31:18
10998,10989,8384,"Bociaga, Daniel (USA)",23710,45-49,01:43:30,03:31:18
10999,10990,8385,"Simmons, Jon (USA)",31422,35-39,01:46:00,03:31:19
11000,10991,2575,"Schramm, Alona (USA)",17276,30-34,01:44:43,03:31:19
11001,10992,8386,"Howard, Matthew (USA)",29853,25-29,01:43:01,03:31:19
11002,10993,2576,"Wood, Vanessa (USA)",37055,30-34,01:44:34,03:31:19
11003,10994,8387,"Lastimosa, Caesar (USA)",1621,45-49,01:47:26,03:31:19
11004,10995,8388,"Karnstedt, Matt (USA)",15930,30-34,01:43:27,03:31:20
11005,10996,8389,"Toth, Csaba (HUN)",16280,45-49,01:45:54,03:31:20
11006,10997,8390,"Teverny, Petr (CZE)",23440,40-44,01:40:30,03:31:20
11007,10998,8391,"Torres, David Daniel (ARG)",4764,50-54,01:43:06,03:31:20
11008,10999,8392,"Baker, Daniel (USA)",23506,50-54,01:39:59,03:31:20
11009,11000,8393,"Comer, Kevin (USA)",16751,45-49,01:43:43,03:31:21
11010,Place Overall,Place Gender,Name (CTZ),BIB,Division,HALF,Finish
11011,11001,2577,"Siudak, Anna (BEL)",26742,40-44,01:40:34,03:31:21
11012,11002,8394,"Rojas, Oscar (COL)",19949,40-44,01:44:23,03:31:21
11013,11003,8395,"Hartnett, William (USA)",27412,19 and under,01:45:36,03:31:21
11014,11004,2578,"Nguyen, Quy (USA)",26693,45-49,01:45:34,03:31:21
11015,11005,8396,"Keating, Ben (USA)",22971,40-44,01:29:43,03:31:22
11016,11006,8397,"Goicoechea, Rodrigo (MEX)",9917,30-34,01:46:13,03:31:22
11017,11007,2579,"Rossnagle, Tara (USA)",19566,40-44,01:45:05,03:31:22
11018,11008,8398,"Mohanlall, Tashil (RSA)",4421,25-29,01:44:58,03:31:23
11019,11009,2580,"McGillivray, Lisa (GBR)",26464,40-44,01:42:30,03:31:23
11020,11010,8399,"Hernandez, Zenen (USA)",17140,45-49,01:41:23,03:31:23
11021,11011,2581,"Arceo abuchard, Maria Eugenia (MEX)",1686,35-39,01:45:04,03:31:23
11022,11012,2582,"Ramirez, Geny (USA)",26678,45-49,01:43:42,03:31:23
11023,11013,8400,"Lee, Randy (USA)",25743,55-59,01:42:38,03:31:24
11024,11014,8401,"Trawon, Roi (PHI)",20033,25-29,01:45:11,03:31:24
11025,11015,8402,"Smuga, Piotr (POL)",10829,50-54,01:41:38,03:31:24
11026,11016,8403,"Deegan, Frank (USA)",12609,35-39,01:43:37,03:31:24
11027,11017,8404,"Reyes, Jose (USA)",16437,55-59,01:45:39,03:31:24
11028,11018,2583,"Dunn, Caroline (USA)",15195,30-34,01:42:31,03:31:25
11029,11019,8405,"Pedersen, Denny (SWE)",8583,45-49,01:33:36,03:31:25
11030,11020,2584,"Muncey, Briana (USA)",13828,35-39,01:45:50,03:31:25
11031,11021,8406,"Montes, Francisco (MEX)",14482,55-59,01:36:46,03:31:25
11032,11022,2585,"Wayman, Katherine (USA)",30314,35-39,01:44:46,03:31:25
11033,11023,2586,"Swords, Kerry (USA)",26519,50-54,01:45:08,03:31:26
11034,11024,8407,"Calleja, Daniel (MEX)",40821,30-34,01:45:48,03:31:26
11035,11025,8408,"Fleischhauer, Joshua (USA)",14811,40-44,01:47:10,03:31:26
11036,11026,8409,"Maeda, Atsutoshi (JPN)",15047,45-49,01:43:59,03:31:26
11037,11027,8410,"Verdasca, Nuno (POR)",1693,50-54,01:43:48,03:31:26
11038,11028,8411,"Gallo, Jorge (USA)",13337,50-54,01:45:41,03:31:27
11039,11029,8412,"Thomson, Garth (CAN)",6741,35-39,01:43:57,03:31:27
11040,11030,8413,"Dilone, Joaquin (DOM)",7711,50-54,01:43:02,03:31:27
11041,11031,8414,"Lopez Torres, Angel (MEX)",32900,50-54,01:44:32,03:31:27
11042,11032,8415,"Augsburger, Daniel (USA)",17880,35-39,01:43:48,03:31:27
11043,11033,8416,"D'Amuri, Francesco Umberto (ITA)",6447,30-34,01:35:53,03:31:27
11044,11034,8417,"Shibazaki, Koh (USA)",30223,25-29,01:44:12,03:31:27
11045,11035,8418,"Hruska, David (USA)",1554,35-39,01:45:21,03:31:28
11046,11036,2587,"Kaga, Asami (JPN)",26042,40-44,01:34:42,03:31:28
11047,11037,2588,"DeVelder, Colby (USA)",17490,35-39,01:43:42,03:31:28
11048,11038,8419,"Jean Daniel, Vee (FRA)",20167,45-49,01:30:19,03:31:29
11049,11039,8420,"Carreteiro, Mateus (BRA)",4816,40-44,01:43:19,03:31:29
11050,11040,2589,"Franks, Kate (USA)",16355,35-39,01:43:47,03:31:30
11051,11041,8421,"Sauers, Max (USA)",15787,20-24,01:51:01,03:31:30
11052,11042,8422,"Herchenroether, Daniel (USA)",21603,45-49,01:44:46,03:31:30
11053,11043,2590,"Heller, Olivia (USA)",51106,25-29,01:44:38,03:31:31
11054,11044,8423,"Wright, Brad (USA)",22504,50-54,01:40:21,03:31:31
11055,11045,8424,"Rutowski, Josh (USA)",1660,25-29,01:45:36,03:31:31
11056,11046,2591,"Patel, Taslima (GBR)",12401,30-34,01:43:02,03:31:31
11057,11047,8425,"Tidke, Dnyaneshwar (IND)",22560,45-49,01:34:24,03:31:31
11058,11048,2592,"Brown, Samantha (GBR)",11726,50-54,01:43:48,03:31:31
11059,11049,2593,"Gomes, Natalia (BRA)",3920,30-34,01:44:43,03:31:32
11060,11050,8426,"Kolvoort, Arjan (NED)",10761,40-44,01:45:08,03:31:32
11061,11051,8427,"O'Malley, Kevin (USA)",15103,30-34,01:39:51,03:31:32
11062,11052,8428,"Conesa, Adrian (ESP)",10985,45-49,01:45:43,03:31:32
11063,11053,8429,"Skeels, Thomas (USA)",22994,25-29,01:46:35,03:31:32
11064,11054,2594,"Leandro, Ana Paula (BRA)",3897,45-49,01:45:58,03:31:33
11065,11055,2595,"Caron, Christina (CAN)",3565,45-49,01:42:17,03:31:33
11066,11056,8430,"Frieder, Brett (USA)",17958,25-29,01:40:57,03:31:33
11067,11057,2596,"Amini, Rose-Marie (SWE)",26440,50-54,01:44:21,03:31:33
11068,11058,2597,"Hung, Yiu Chun (HKG)",5515,35-39,01:44:59,03:31:33
11069,11059,8431,"Pires, Paulo (BRA)",3653,55-59,01:42:58,03:31:33
11070,11060,8432,"Almeida Mendes Junior, Agnaldo (BRA)",2575,25-29,01:37:18,03:31:33
11071,11061,8433,"Giorgio, Juan Martin (ARG)",2424,35-39,01:36:46,03:31:34
11072,11062,2598,"Bargieri, Julia (BRA)",5682,40-44,01:43:40,03:31:34
11073,11063,2599,"Torres Martinez, Layza (PUR)",22640,45-49,01:44:43,03:31:34
11074,11064,8434,"Benitez Rotela, Ernesto (PAR)",44607,45-49,01:45:03,03:31:35
11075,11065,8435,"Snytkine, Dmitri (USA)",22581,50-54,01:43:57,03:31:35
11076,11066,2600,"Bohan, Sarah (USA)",24401,25-29,01:34:07,03:31:35
11077,11067,8436,"Silva, Luis Miguel (POR)",34985,30-34,01:46:45,03:31:35
11078,11068,2601,"Camberos, Regina (MEX)",15518,30-34,01:46:09,03:31:36
11079,11069,8437,"Sandoval, Brian (USA)",18690,40-44,01:42:40,03:31:36
11080,11070,8438,"Vido, Francisco (ARG)",9748,45-49,01:44:08,03:31:36
11081,11071,8439,"Calixto, Leonardo (BRA)",23641,50-54,01:38:58,03:31:36
11082,11072,8440,"Elliott, Zachary (USA)",22723,20-24,01:42:53,03:31:36
11083,11073,2602,"Monteiro, Renata (BRA)",5675,45-49,01:43:53,03:31:36
11084,11074,8441,"Pease, Tim (USA)",23585,35-39,01:37:17,03:31:36
11085,11075,2603,"Hinchcliffe, Erica (USA)",19641,30-34,01:47:34,03:31:37
11086,11076,8442,"Oliver, Christopher (GBR)",11682,35-39,01:46:32,03:31:38
11087,11077,8443,"Abbott, Nick (USA)",31579,35-39,01:48:23,03:31:38
11088,11078,8444,"Bolona, Jose Antonio (PER)",21654,40-44,01:46:01,03:31:39
11089,11079,2604,"Fleagle, Madelyn (USA)",14408,30-34,01:44:21,03:31:39
11090,11080,8445,"Girard, William (CAN)",6669,30-34,01:41:47,03:31:39
11091,11081,8446,"Hand, Charles (USA)",17296,60-64,01:44:25,03:31:39
11092,11082,8447,"Sceusa, Joseph (USA)",14311,35-39,01:45:13,03:31:40
11093,11083,2605,"Gifford, Sasha (USA)",23723,30-34,01:42:36,03:31:40
11094,11084,8448,"Stec, Nicholas (USA)",3615,19 and under,01:45:23,03:31:40
11095,11085,8449,"Herrera, Cristopher (ECU)",40379,25-29,01:51:55,03:31:40
11096,11086,8450,"Levin, Sam (USA)",16393,25-29,01:49:56,03:31:40
11097,11087,2606,"Gauthier, Luisa (CAN)",6632,25-29,01:44:48,03:31:41
11098,11088,8451,"Ha, Corey (USA)",19423,50-54,01:38:05,03:31:41
11099,11089,2607,"Hildebrand, Lauren (USA)",18747,40-44,01:46:49,03:31:41
11100,11090,2608,"Lagoria, Natacha (ARG)",15468,45-49,01:43:37,03:31:41
11101,11091,2609,"O'Sullivan, Helen (GBR)",11608,45-49,01:45:37,03:31:41
11102,11092,2610,"Joseph Augustin, Izadora (USA)",11240,20-24,01:40:22,03:31:42
11103,11093,2611,"Bentert, Stefanie (GER)",7788,25-29,01:41:07,03:31:42
11104,11094,8452,"Koy, Christoph (GER)",6821,35-39,01:42:44,03:31:42
11105,11095,8453,"Drage, Brent (USA)",16808,45-49,01:45:20,03:31:42
11106,11096,8454,"McAllister, Kevin (USA)",26523,60-64,01:42:32,03:31:42
11107,11097,2612,"Gossa, Lidya (USA)",16728,25-29,01:44:33,03:31:42
11108,11098,8455,"Ferreira, Frederico (BRA)",4850,30-34,01:45:07,03:31:43
11109,11099,8456,"Maul-Fonseca, Juan-Pablo (CHI)",6774,45-49,01:45:17,03:31:43
11110,11100,8457,"Severino, Anthony (USA)",21665,45-49,01:44:16,03:31:43
11111,11101,8458,"Stout, Chris (USA)",15147,25-29,01:41:54,03:31:43
11112,11102,8459,"Gutierrez, Emilio (NCA)",35414,30-34,01:44:16,03:31:43
11113,11103,2613,"Sanchez, Teeni-Yanei (USA)",20718,30-34,01:43:58,03:31:44
11114,11104,8460,"Bergen, Zach (USA)",11227,45-49,01:41:00,03:31:44
11115,11105,8461,"Eiksund, Ole Arne (NOR)",23780,55-59,01:41:21,03:31:45
11116,11106,8462,"Szerszen, Jonathan (USA)",17538,35-39,01:42:40,03:31:45
11117,11107,2614,"Steiervalt, Mariela (ARG)",26308,45-49,01:41:04,03:31:45
11118,11108,8463,"Zappi, Arcangelo (ITA)",6446,35-39,01:41:06,03:31:45
11119,11109,8464,"Katrak, Fabian (IND)",22559,30-34,01:45:19,03:31:45
11120,11110,8465,"Lambadiaris, Greg (GBR)",11674,40-44,01:48:09,03:31:46
11121,11111,8466,"Abrahams, Zaid (GBR)",20988,45-49,01:43:56,03:31:46
11122,11112,8467,"Uzelac, Slavko (CAN)",4878,40-44,01:47:00,03:31:46
11123,11113,2615,"Hrnciar, Jessica (USA)",32321,20-24,01:46:42,03:31:46
